numero,id,nombre,categoria,area,modulo,estadoFuncional,servicioDestino,rolesAutorizados
"27","5812297","🎁 Programa de Referidos","INTERNAL_OPERATION","Jugadores","Comunicaciones y ciclo de socio","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"28","5736466","⭐ Encuesta Post-Partido","INTERNAL_OPERATION","Torneos y ranking","Centro de automatizaciones","NO_CONECTADO","Airtable","SUPPORT"
"29","4919937","🏆 Cruces de Torneo","EVENT_TRIGGERED","Torneos y ranking","Centro de automatizaciones","NO_CONECTADO","Airtable","SUPPORT"
"30","5330078","🏅 Resultados y Clasificación","EVENT_TRIGGERED","Torneos y ranking","Centro de automatizaciones","NO_CONECTADO","Airtable","SUPPORT"
"31","5791374","🏆 Reto 04 + Puntos","EVENT_TRIGGERED","Torneos y ranking","Centro de automatizaciones","NO_CONECTADO","Airtable","SUPPORT"
"32","5791133","🏟️ Cierre Temporal de Pistas","EVENT_TRIGGERED","Reservas","Cierre temporal","PROBADO_PARCIAL","Airtable + WhatsApp Business API","STAFF|ADMIN|SUPPORT"
"33","5288809","❌ Baja de Jugador + Promoción","EVENT_TRIGGERED","Jugadores","Baja de jugador","CONECTADO_SIN_PROBAR","Airtable","STAFF|ADMIN|SUPPORT"
"34","5291559","🔐 Control Acceso QR","EVENT_TRIGGERED","Acceso y QR","Control QR / Accesos","BLOQUEADO","Airtable","STAFF|ADMIN|SUPPORT"
"35","6244975","🔑 Generación QR Acceso","EVENT_TRIGGERED","Acceso y QR","Control QR / Accesos","BLOQUEADO","Ninguno detectado","STAFF|ADMIN|SUPPORT"
"36","5799031","🎧 Atención Socio WhatsApp FAQ","EVENT_TRIGGERED","Automatizaciones","Automatizaciones y bots","PENDIENTE_DE_CONFIRMAR","Airtable + Stripe + WhatsApp Business API + Telegram Bot API + Google Calendar","ADMIN|SUPPORT"
"37","5791124","🎯 Campaña Flash WhatsApp","EVENT_TRIGGERED","Automatizaciones","Automatizaciones y bots","PENDIENTE_DE_CONFIRMAR","Airtable + Stripe + WhatsApp Business API + Telegram Bot API + Google Calendar","ADMIN|SUPPORT"
"38","5733370","💰 Facturación y Cobro","EVENT_TRIGGERED","Administración","Facturación y pagos","CONECTADO_SIN_PROBAR","Airtable + Stripe + WhatsApp Business API + Telegram Bot API + Google Calendar","ADMIN|SUPPORT"
"39","5799061","💬 Chatbot Web Reservas","EVENT_TRIGGERED","Comunicaciones","Centro de automatizaciones","NO_CONECTADO","Ninguno detectado","SUPPORT"
"40","5798996","🤖 Bot IA Reservas WhatsApp","EVENT_TRIGGERED","Automatizaciones","Automatizaciones y bots","CONECTADO_SIN_PROBAR","Stripe + WhatsApp Business API + Telegram Bot API + Google Calendar","ADMIN|SUPPORT"
"41","4832095","🤖 Bot IA Reservas Telegram","EVENT_TRIGGERED","Automatizaciones","Automatizaciones y bots","CONECTADO_SIN_PROBAR","Stripe + WhatsApp Business API + Telegram Bot API + Google Calendar","ADMIN|SUPPORT"
"42","6323457","⚖️ Solicitud GDPR Acceso u Olvido de Datos","EVENT_TRIGGERED","Seguridad y auditoría","Backups y seguridad","BLOQUEADO","Airtable","ADMIN|SUPPORT"
"43","6323450","🛡️ Alerta Seguridad Acceso Sospechoso","EVENT_TRIGGERED","Seguridad y auditoría","Backups y seguridad","BLOQUEADO","Ninguno detectado","ADMIN|SUPPORT"
"44","6323441","💳 Pago Confirmado Stripe → Cuota + Recibo","EVENT_TRIGGERED","Administración","Facturación y pagos","BLOQUEADO","Airtable + Stripe","ADMIN|SUPPORT"
"45","6335117","🔄 Dunning Cobro Recurrente Stripe","EVENT_TRIGGERED","Administración","Facturación y pagos","BLOQUEADO","Airtable + Stripe","ADMIN|SUPPORT"
"46","6323445","🔑 Email Recuperación de Contraseña SaaS","EVENT_TRIGGERED","Administración","Centro de automatizaciones","NO_CONECTADO","Ninguno detectado","SUPPORT"
"47","6335114","📸 Instagram Borrador con IA","EVENT_TRIGGERED","Promociones y marketing","Centro de automatizaciones","NO_APLICA","Airtable + Instagram","SUPPORT"
"48","6335118","🔔 Notificación Push PWA","EVENT_TRIGGERED","Comunicaciones","Centro Técnico","NO_CONECTADO","Airtable + Stripe + WhatsApp Business API + Telegram Bot API + Google Calendar","SUPPORT"
"49","5747703","📝 Tally → API Reservas","EVENT_TRIGGERED","Automatizaciones","Automatizaciones y bots","PENDIENTE_DE_CONFIRMAR","Stripe + WhatsApp Business API + Telegram Bot API + Google Calendar","ADMIN|SUPPORT"
"50","6216523","🗂️ Backup Plantilla Drive","DEVELOPMENT_QA","Seguridad y auditoría","Backups y seguridad","BLOQUEADO","Google Drive","ADMIN|SUPPORT"
